symbol,direction,timeframe,outcome,ai_score,signal_quality,rsi,ema50,ema200,trend,wave_bias,price,ai_entry,ai_tp,ai_sl,exit_price,pnl_pct,created_at_readable,matched_rules,failed_rules
SUIUSDT,LONG,5m,WIN,82,GUT,36.1990104945,0.7539445604,0.7396615429,neutral,,0.7492,0.7492,0.760438,0.7417079999999999,0.7504,0.16,2026-06-07 10:45:04,"RSI niedrig (36) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 1.3%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
XAUTUSDT,LONG,5m,WIN,80,GUT,38.6746176835,4300.2428307004,4296.9781032851,neutral,,4297.7,4297.7,4362.1655,4254.723,4299.27,0.04,2026-06-07 11:10:04,RSI niedrig (39) – passt zu Setup A LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,Preis zu nah an EMA 200 (0.02%) – Ausschluss v2.0
XRPUSDT,LONG,5m,WIN,79,GUT,36.1117762997,1.1383191297,1.1215397752,neutral,,1.131,1.131,1.147965,1.11969,1.1346,0.32,2026-06-07 12:10:02,"RSI niedrig (36) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 0.8%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
VIRTUALUSDT,LONG,5m,WIN,79,GUT,39.8606221789,0.5703229052,0.5629027368,neutral,,0.5665,0.5665,0.5749975,0.560835,0.5737,1.27,2026-06-07 12:10:02,"RSI niedrig (40) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 0.6%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
TRXUSDT,LONG,5m,LOSS,79,GUT,39.3413981733,0.3284397439,0.3258203543,neutral,,0.3284,0.3284,0.333326,0.325116,0.325116,-1,2026-06-07 12:15:08,"RSI niedrig (39) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 0.8%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
RIVERUSDT,LONG,5m,WIN,79,GUT,39.4274797142,5.2345111911,5.1724874989,neutral,,5.2023,5.2023,5.2803345,5.150277,5.229,0.51,2026-06-07 12:15:29,"RSI niedrig (39) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 0.6%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
TRXUSDT,LONG,5m,WIN,79,GUT,33.011150023,0.3282891401,0.3259560279,neutral,,0.3278,0.3278,0.332717,0.324522,0.328,0.06,2026-06-07 12:50:03,"RSI niedrig (33) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 0.6%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
TRXUSDT,LONG,5m,LOSS,77,GUT,43.3640910109,0.3282924647,0.3264998923,neutral,,0.3281,0.3281,0.3330215,0.324819,0.324819,-1,2026-06-07 15:05:10,RSI neutral-niedrig (43)|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG|US-Open Session (13:30-16 UTC) – bevorzugte Zeit,Preis zu nah an EMA 200 (0.49%) – Ausschluss v2.0
TRXUSDT,LONG,5m,WIN,81,GUT,28.5625836614,0.3280937053,0.3268176028,neutral,,0.3271,0.3271,0.3320065,0.323829,0.3276,0.15,2026-06-07 17:00:11,RSI überverkauft (29) – Pullback günstig für LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,Preis zu nah an EMA 200 (0.09%) – Ausschluss v2.0
VIRTUALUSDT,LONG,5m,LOSS,81,GUT,44.7968816164,0.5714362912,0.5665605471,neutral,,0.571,0.571,0.579565,0.56529,0.56529,-1,2026-06-07 18:45:07,"RSI neutral-niedrig (45)|EMA bullish (EMA50>EMA200, Dist 0.8%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
